"Age","F_2000","M_2000","FromNCHS_US_2000"
0,1.000000000,1.000000000,
5,0.992610000,0.990960000,
10,0.991890000,0.990060000,
15,0.991070000,0.988820000,
20,0.989090000,0.984130000,
25,0.986710000,0.977160000,
30,0.983920000,0.970250000,
35,0.980210000,0.962660000,
40,0.974600000,0.952640000,
45,0.966230000,0.938260000,
50,0.953980000,0.916740000,
55,0.935610000,0.886870000,
60,0.907160000,0.842860000,
65,0.863440000,0.778970000,
70,0.799830000,0.690550000,
75,0.709830000,0.573210000,
80,0.585630000,0.431920000,
85,0.421450000,0.272650000,
90,0.239360000,0.130450000,
95,0.096690000,0.042680000,
100,0.024790000,0.008640000,
105,0.000000000,0.000000000,
